id;access;bicycle;crossing;foot;footway;highway;horse;junction;lanes;lit;maxspeed;name;oneway;service;surface
292;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
293;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
294;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
295;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
296;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
297;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
298;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
299;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
300;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
301;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
302;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
303;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
304;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
305;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
306;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
307;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
308;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
309;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
310;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
311;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
312;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
313;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
314;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
315;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
316;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
317;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
318;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
319;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
320;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
321;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
322;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
323;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
324;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
325;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
326;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
327;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
328;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
329;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
330;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
331;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
332;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
333;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
334;-;-;-;-;-;tertiary;-;-;-;-;-;Alameda Flamboyant;-;-;-
335;-;-;-;-;-;tertiary;-;roundabout;-;-;-;-;-;-;-
336;-;-;-;-;-;tertiary;-;roundabout;-;-;-;-;-;-;-
337;-;-;-;-;-;tertiary;-;roundabout;-;-;-;-;-;-;-
338;-;-;-;-;-;tertiary;-;roundabout;-;-;-;-;-;-;-
339;-;-;-;-;-;tertiary;-;roundabout;-;-;-;-;-;-;-
340;-;-;-;-;-;tertiary;-;roundabout;-;-;-;-;-;-;-
