id;access;bicycle;crossing;foot;footway;highway;horse;junction;lanes;lit;maxspeed;name;oneway;service;surface
222;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
223;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
224;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
225;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
226;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
227;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
228;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
229;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
230;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
231;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-21;-;-;-
232;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-21;-;-;-
233;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-21;-;-;-
234;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-21;-;-;-
235;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-21;-;-;-
236;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-21;-;-;-
237;-;-;-;-;-;residential;-;-;-;-;-;-;-;-;-
238;-;-;-;-;-;residential;-;-;-;-;-;-;-;-;-
239;-;-;-;-;-;residential;-;-;-;-;-;-;-;-;-
240;-;-;-;-;-;residential;-;-;-;-;-;-;-;-;-
241;-;-;-;-;-;residential;-;-;-;-;-;-;-;-;-
242;-;-;-;-;-;secondary;-;-;-;-;-;Estrada do Campus Samambaia;yes;-;-
243;-;-;-;-;-;tertiary;-;-;-;-;-;-;no;-;-
244;-;-;-;-;-;tertiary;-;-;-;-;-;-;no;-;-
245;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Aroeira;-;-;-
246;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Aroeira;-;-;-
247;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Aroeira;-;-;-
